"problemID";"clientID";"organisationID";"problemTypeID";"problemSubTypeID";"problemHeader";"problemDescription";"noOfPeopleAffected";"scope";"problemStatusID";"problemPriorityID";"assignedTo";"completedDate";"createdDate";"createdBy";"updatedDate";"updatedBy";"deletedDate";"deletedBy"
164;3;37;22;11;"Some users not visible.";"Some users not visible in detail when drill down from list.";1;4;1;1;0;"";"2016-03-25 20:23:25";4;"";0;"2016-04-14 19:23:22";4
165;3;37;22;11;"No validation on project update for stakeholder pr";"No validation on project update for stakeholder or project manager";2;4;1;2;0;"";"2016-03-27 19:41:11";4;"";0;"2016-07-14 18:16:46";4
166;3;37;22;11;"Search duplicates";"In search a search for 'linked' produces triplicated results.";1;4;4;1;0;"";"2016-03-27 21:44:51";4;"2016-06-24 21:12:41";4;"2016-06-24 21:16:56";4
167;3;37;22;11;"Search shows deleted tasks";"Search for email and you see the apparently deleted php email tasks.

Downgrade to minor problem as this is intended behaviour. ";1;4;1;4;4;"";"2016-03-27 22:00:04";4;"2016-04-14 19:31:28";4;"2016-07-19 19:09:47";4
168;3;37;22;11;"Lists wrong on mobile";"Some lists except problems wrongly displayed on mobile margins wrong. Home page way out.";1;4;1;2;0;"";"2016-04-12 21:02:41";4;"";0;"";0
169;3;37;22;11;"User organisation not shown on edit";"On user edit page the user's organisation shows blank in the dropdown list.

This is only a mobile problem so downgrade.";1;4;1;2;4;"";"2016-04-12 21:05:31";4;"2016-04-14 19:29:58";4;"2016-07-13 20:30:27";4
170;3;37;22;11;"Cannot edit problem without set assignee";"It is impossible to edit a problem without setting an assignee.....";1;4;1;1;0;"";"2016-04-14 19:34:11";4;"2016-04-15 17:47:07";4;"2016-04-15 17:47:48";4
171;3;37;22;11;"Edit user message afterwards";"When user edited if successful the message is shown in red.";1;4;1;3;0;"";"2016-04-14 20:07:30";4;"";0;"";0
172;3;37;22;11;"When change user email it does not update";"When a user;s email address is edited and updated it is not changed.";1;4;1;1;0;"";"2016-04-14 20:08:33";4;"";0;"2016-04-22 20:17:47";4
173;3;37;22;11;"User edit email does not accept some emails";"For some reason the user edit email does not accept the name BarratO@simpris.com. Puzzlingly this works fine on test.";1;4;1;1;0;"";"2016-04-14 20:09:28";4;"2016-05-20 18:12:17";4;"2016-05-20 20:14:55";4
174;3;37;22;11;"User edit cannot add new project";"Cannot add new project for user. Also at bottom of user edit is drop down to add projects for user. This shows a long list unordered and full of duplicates.";1;4;1;2;4;"";"2016-04-14 20:10:42";4;"2016-07-19 20:48:43";4;"2016-07-26 19:17:30";4
175;3;37;22;12;"Cannot cancel move project from project detail pg";"Cannot cancel move project dialogue from project detail page";1;4;1;3;0;"";"2016-04-14 20:50:38";4;"";0;"2016-07-28 19:31:12";4
176;3;37;22;11;"task detail linked tasks shows raw html";"Task detail linked tasks shows raw html.
Task 198 'new ideas' is an example";1;4;1;1;0;"";"2016-04-14 21:39:36";4;"";0;"2016-04-15 17:36:25";4
177;3;37;22;11;"On add new user cannot make them admins";"When adding a new user they cannot be made admins in the system 

or stakeholders

or project managers

This can be done afterwards in edit";1;4;1;3;4;"";"2016-04-19 20:44:06";4;"2016-07-19 17:27:51";4;"";0
178;3;37;22;11;"Ordinary user can add themselves to projects";"Ordinary users can add themselves to projects";1;4;1;1;0;"";"2016-04-19 20:44:57";4;"";0;"2016-04-22 19:48:50";4
179;3;37;22;11;"Ordinary users can delete themselves";"Ordinary users can delete themselves";1;4;1;1;0;"";"2016-04-19 20:46:53";4;"";0;"2016-05-18 18:15:49";4
180;3;37;22;11;"Ordinary users can add organisations";"Ordinary users can add organisations";1;4;1;1;0;"";"2016-04-19 20:48:29";4;"";0;"2016-04-22 19:51:10";4
181;3;37;22;11;"Ordinary users can delete their organisation";"Ordinary and admin users can delete their own organisation";1;4;1;1;0;"";"2016-04-19 20:49:45";4;"";0;"2016-07-01 19:59:56";4
182;3;37;22;11;"Ordinary users can edit teams";"Ordinary users can edit teams

and delete them too";1;4;1;1;0;"";"2016-04-19 20:51:15";4;"2016-04-19 20:57:35";4;"2016-04-22 19:49:06";4
183;3;37;22;11;"Ordinary users can create teams";"Ordinary users can create teams";1;4;1;1;0;"";"2016-04-19 20:52:37";4;"";0;"2016-04-22 19:48:58";4
184;3;37;23;11;"Ordinary users can see all metrics";"Ordinary users should not be able to see the top group of reports:
VIP summary
Overdue tasks by project
Overdue projects
Problems per project
Billed revenue per client
";1;4;1;1;0;"";"2016-04-19 21:02:10";4;"2016-04-21 19:57:05";4;"2016-04-22 19:41:52";4
185;3;37;22;11;"Time editor tasks dropdown has html";"Time editor tasks dropdown has html in it.";1;4;1;2;0;"";"2016-05-17 18:32:50";4;"";0;"2016-07-04 21:27:46";4
186;3;37;22;11;"In calendar html tags show for tasks";"In calendar html tags show for tasks";1;4;1;2;0;"";"2016-05-18 18:45:44";4;"";0;"2016-07-01 20:09:28";4
187;3;37;22;11;"Registration form screwed on ipad";"Registration form not formatted well on iPad. Input text fields are too wide for portrait mode.";1;4;1;2;0;"";"2016-06-11 22:49:40";4;"";0;"2016-07-08 22:43:50";4
188;3;37;22;11;"Programme user add/delete";"Programme user add or delete - error messages are not displayed just a blank panel.";1;4;1;2;0;"";"2016-06-12 22:27:02";4;"";0;"";0
189;3;37;22;11;"Project edit and org edit";"Project edit and org edit are not showing user as context not passed through";1;4;1;1;0;"";"2016-07-14 18:23:47";4;"";0;"2016-07-19 17:25:36";4
190;3;37;22;11;"No validation on project create";"No validation on project create. No messages show if error.";1;4;1;1;0;"";"2016-07-14 18:24:40";4;"";0;"2016-07-14 23:23:23";4
191;3;37;22;11;"On iPad project view priority and status don't wor";"Right most 2 columns do not show on project tasks table on project detail page.";1;4;1;2;0;"";"2016-07-26 21:52:52";4;"";0;"";0
